GRAPHEME	tone	stress	syllabic	short	long	consonantal	sonorant	continuant	delayedRelease	approximant	tap	trill	nasal	lateral	labial	round	labiodental	coronal	anterior	distributed	strident	dorsal	high	low	front	back	tense	retractedTongueRoot	advancedTongueRoot	periodicGlottalSource	epilaryngealSource	spreadGlottis	constrictedGlottis	fortis	lenis	raisedLarynxEjective	loweredLarynxImplosive	click
n̠	.	-	-	-	-	+	+	-	.	-	-	-	+	-	-	.	.	+	-	+	-	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
n̠d̠	.	-	-	-	-	+	.	-	-	-	-	-	.	-	-	.	.	+	-	+	-	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
n̠d̠ʒ	.	-	-	-	-	+	.	-	+	-	-	-	.	-	-	.	.	+	-	+	.	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
n̠d̠ʒʷ	.	-	-	-	-	+	.	-	+	-	-	-	.	-	.	+	-	+	-	+	.	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
n̠t̠	.	-	-	-	-	+	.	-	-	-	-	-	.	-	-	.	.	+	-	+	-	-	.	.	.	.	.	-	-	.	-	-	-	-	-	-	-	-
n̠t̠ʃ	.	-	-	-	-	+	.	-	+	-	-	-	.	-	-	.	.	+	-	+	.	-	.	.	.	.	.	-	-	.	-	-	-	-	-	-	-	-
n̠t̠ʃɾ	.	-	-	-	-	+	.	.	+	.	.	-	.	-	-	.	.	+	.	.	.	-	.	.	.	.	.	-	-	.	-	-	-	-	-	-	-	-
n̠t̠ʃʰ	.	-	-	-	-	+	.	-	+	-	-	-	.	-	-	.	.	+	-	+	.	-	.	.	.	.	.	-	-	.	-	.	-	-	-	-	-	-
n̠t̠ʃʷ	.	-	-	-	-	+	.	-	+	-	-	-	.	-	.	+	-	+	-	+	.	-	.	.	.	.	.	-	-	.	-	-	-	-	-	-	-	-
n̠t̠ʃʼ	.	-	-	-	-	+	.	-	+	-	-	-	.	-	-	.	.	+	-	+	.	-	.	.	.	.	.	-	-	.	-	-	.	-	-	.	-	-
n̠ʃ	.	-	-	-	-	+	.	.	+	-	-	-	.	-	-	.	.	+	-	+	.	-	.	.	.	.	.	-	-	.	-	-	-	-	-	-	-	-
n̠ʃʷ	.	-	-	-	-	+	.	.	+	-	-	-	.	-	.	+	-	+	-	+	.	-	.	.	.	.	.	-	-	.	-	-	-	-	-	-	-	-
n̠ʒ	.	-	-	-	-	+	.	.	+	-	-	-	.	-	-	.	.	+	-	+	.	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
n̠ʲ	.	-	-	-	-	+	+	-	.	-	-	-	+	-	-	.	.	+	-	+	-	.	+	-	+	-	.	-	-	+	-	-	-	-	-	-	-	-
n̠̤	.	-	-	-	-	+	+	-	.	-	-	-	+	-	-	.	.	+	-	+	-	-	.	.	.	.	.	-	-	+	-	+	-	-	-	-	-	-
n̠̤d̠̤ʒ	.	-	-	-	-	+	.	-	+	-	-	-	.	-	-	.	.	+	-	+	.	-	.	.	.	.	.	-	-	+	-	+	-	-	-	-	-	-
n̠̥	.	-	-	-	-	+	+	-	.	-	-	-	+	-	-	.	.	+	-	+	-	-	.	.	.	.	.	-	-	-	-	-	-	-	-	-	-	-
n̠̥t̠ʃ	.	-	-	-	-	+	.	-	+	-	-	-	.	-	-	.	.	+	-	+	.	-	.	.	.	.	.	-	-	-	-	-	-	-	-	-	-	-
n̠̩d̠ʒ	.	-	.	-	-	+	.	-	+	-	-	-	.	-	-	.	.	+	-	+	.	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
n̤	.	-	-	-	-	+	+	-	.	-	-	-	+	-	-	.	.	+	+	-	-	-	.	.	.	.	.	-	-	+	-	+	-	-	-	-	-	-
n̤d̤	.	-	-	-	-	+	.	-	-	-	-	-	.	-	-	.	.	+	+	-	-	-	.	.	.	.	.	-	-	+	-	+	-	-	-	-	-	-
n̤d̤z̤	.	-	-	-	-	+	.	-	+	-	-	-	.	-	-	.	.	+	+	-	.	-	.	.	.	.	.	-	-	+	-	+	-	-	-	-	-	-
n̤d̤ɮ̤	.	-	-	-	-	+	.	.	.	-	-	-	.	.	-	.	.	+	+	-	-	-	.	.	.	.	.	-	-	+	-	+	-	-	-	-	-	-
n̤g̤	.	-	-	-	-	+	.	-	-	-	-	-	.	-	-	.	.	.	+	-	-	.	+	-	-	-	.	-	-	+	-	+	-	-	-	-	-	-
n̤s	.	-	-	-	-	+	.	.	+	-	-	-	.	-	-	.	.	+	+	-	.	-	.	.	.	.	.	-	-	.	-	.	-	-	-	-	-	-
n̤tʰ	.	-	-	-	-	+	.	-	-	-	-	-	.	-	-	.	.	+	+	-	-	-	.	.	.	.	.	-	-	.	-	+	-	-	-	-	-	-
n̤ʱ	.	-	-	-	-	+	+	-	.	-	-	-	+	-	-	.	.	+	+	-	-	-	.	.	.	.	.	-	-	+	-	+	-	-	-	-	-	-
n̤ʷ	.	-	-	-	-	+	+	-	.	-	-	-	+	-	.	+	-	+	+	-	-	-	.	.	.	.	.	-	-	+	-	+	-	-	-	-	-	-
n̥	.	-	-	-	-	+	+	-	.	-	-	-	+	-	-	.	.	+	+	-	-	-	.	.	.	.	.	-	-	-	-	-	-	-	-	-	-	-
n̥n	.	-	-	-	-	+	+	-	.	-	-	-	+	-	-	.	.	+	+	-	-	-	.	.	.	.	.	-	-	.	-	-	-	-	-	-	-	-
n̥ʃ	.	-	-	-	-	+	.	.	+	-	-	-	.	-	-	.	.	+	.	.	.	-	.	.	.	.	.	-	-	-	-	-	-	-	-	-	-	-
n̥ʲ	.	-	-	-	-	+	+	-	.	-	-	-	+	-	-	.	.	+	+	-	-	.	+	-	+	-	.	-	-	-	-	-	-	-	-	-	-	-
n̥ʲː	.	-	-	-	+	+	+	-	.	-	-	-	+	-	-	.	.	+	+	-	-	.	+	-	+	-	.	-	-	-	-	-	-	-	-	-	-	-
n̥ː	.	-	-	-	+	+	+	-	.	-	-	-	+	-	-	.	.	+	+	-	-	-	.	.	.	.	.	-	-	-	-	-	-	-	-	-	-	-
n̥ˠ	.	-	-	-	-	+	+	-	.	-	-	-	+	-	-	.	.	+	+	-	-	.	+	-	-	-	.	-	-	-	-	-	-	-	-	-	-	-
n̩	.	-	+	-	-	+	+	-	.	-	-	-	+	-	-	.	.	+	+	-	-	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
n̪	.	-	-	-	-	+	+	-	.	-	-	-	+	-	-	.	.	+	+	+	-	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
n̪d̪	.	-	-	-	-	+	.	-	-	-	-	-	.	-	-	.	.	+	+	+	-	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
n̪d̪z̪	.	-	-	-	-	+	.	-	+	-	-	-	.	-	-	.	.	+	+	+	.	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
n̪d̪|nd	.	-	-	-	-	+	.	-	-	-	-	-	.	-	-	.	.	+	+	.	-	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
n̪d̪ʲ|ndʲ	.	-	-	-	-	+	.	-	-	-	-	-	.	-	-	.	.	+	+	.	-	.	+	-	+	-	.	-	-	+	-	-	-	-	-	-	-	-
n̪d̪ʷ|ndʷ	.	-	-	-	-	+	.	-	-	-	-	-	.	-	.	+	-	+	+	.	-	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
n̪s̪|ns	.	-	-	-	-	+	.	.	+	-	-	-	.	-	-	.	.	+	+	.	.	-	.	.	.	.	.	-	-	.	-	-	-	-	-	-	-	-
n̪t̪	.	-	-	-	-	+	.	-	-	-	-	-	.	-	-	.	.	+	+	+	-	-	.	.	.	.	.	-	-	.	-	-	-	-	-	-	-	-
n̪t̪s̪	.	-	-	-	-	+	.	-	+	-	-	-	.	-	-	.	.	+	+	+	.	-	.	.	.	.	.	-	-	.	-	-	-	-	-	-	-	-
n̪t̪s̪|nts	.	-	-	-	-	+	.	-	+	-	-	-	.	-	-	.	.	+	+	.	.	-	.	.	.	.	.	-	-	.	-	-	-	-	-	-	-	-
n̪t̪s̪ʰ	.	-	-	-	-	+	.	-	+	-	-	-	.	-	-	.	.	+	+	+	.	-	.	.	.	.	.	-	-	.	-	.	-	-	-	-	-	-
n̪t̪|nt	.	-	-	-	-	+	.	-	-	-	-	-	.	-	-	.	.	+	+	.	-	-	.	.	.	.	.	-	-	.	-	-	-	-	-	-	-	-
n̪t̪ʰ	.	-	-	-	-	+	.	-	-	-	-	-	.	-	-	.	.	+	+	+	-	-	.	.	.	.	.	-	-	.	-	.	-	-	-	-	-	-
n̪z̪	.	-	-	-	-	+	.	.	+	-	-	-	.	-	-	.	.	+	+	+	.	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
n̪z̪|nz	.	-	-	-	-	+	.	.	+	-	-	-	.	-	-	.	.	+	+	.	.	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
n̪|n	.	-	-	-	-	+	+	-	.	-	-	-	+	-	-	.	.	+	+	.	-	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
n̪ʲ	.	-	-	-	-	+	+	-	.	-	-	-	+	-	-	.	.	+	+	+	-	.	+	-	+	-	.	-	-	+	-	-	-	-	-	-	-	-
n̪ʲ|nʲ	.	-	-	-	-	+	+	-	.	-	-	-	+	-	-	.	.	+	+	.	-	.	+	-	+	-	.	-	-	+	-	-	-	-	-	-	-	-
n̪ʷ	.	-	-	-	-	+	+	-	.	-	-	-	+	-	.	+	-	+	+	+	-	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
n̪ʷ|nʷ	.	-	-	-	-	+	+	-	.	-	-	-	+	-	.	+	-	+	+	.	-	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
n̪ː	.	-	-	-	+	+	+	-	.	-	-	-	+	-	-	.	.	+	+	+	-	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
n̪ː|nː	.	-	-	-	+	+	+	-	.	-	-	-	+	-	-	.	.	+	+	.	-	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
n̪ˠ	.	-	-	-	-	+	+	-	.	-	-	-	+	-	-	.	.	+	+	+	-	.	+	-	-	-	.	-	-	+	-	-	-	-	-	-	-	-
n̪ˤ	.	-	-	-	-	+	+	-	.	-	-	-	+	-	-	.	.	+	+	+	-	-	.	.	.	.	.	.	-	+	-	-	-	-	-	-	-	-
n̪̊	.	-	-	-	-	+	+	-	.	-	-	-	+	-	-	.	.	+	+	+	-	-	.	.	.	.	.	-	-	-	-	-	-	-	-	-	-	-
n̪̤	.	-	-	-	-	+	+	-	.	-	-	-	+	-	-	.	.	+	+	+	-	-	.	.	.	.	.	-	-	+	-	+	-	-	-	-	-	-
n̪̤|n̤	.	-	-	-	-	+	+	-	.	-	-	-	+	-	-	.	.	+	+	.	-	-	.	.	.	.	.	-	-	+	-	+	-	-	-	-	-	-
n̪̥	.	-	-	-	-	+	+	-	.	-	-	-	+	-	-	.	.	+	+	+	-	-	.	.	.	.	.	-	-	-	-	-	-	-	-	-	-	-
n̪̥|n̥	.	-	-	-	-	+	+	-	.	-	-	-	+	-	-	.	.	+	+	.	-	-	.	.	.	.	.	-	-	-	-	-	-	-	-	-	-	-
n̪̩	.	-	+	-	-	+	+	-	.	-	-	-	+	-	-	.	.	+	+	+	-	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
n̪̰	.	-	-	-	-	+	+	-	.	-	-	-	+	-	-	.	.	+	+	+	-	-	.	.	.	.	.	-	-	+	-	-	+	-	-	-	-	-
n̪̰|n̰	.	-	-	-	-	+	+	-	.	-	-	-	+	-	-	.	.	+	+	.	-	-	.	.	.	.	.	-	-	+	-	-	+	-	-	-	-	-
n̪̺	.	-	-	-	-	+	+	-	.	-	-	-	+	-	-	.	.	+	+	-	-	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
n̰	.	-	-	-	-	+	+	-	.	-	-	-	+	-	-	.	.	+	+	-	-	-	.	.	.	.	.	-	-	+	-	-	+	-	-	-	-	-
n̺	.	-	-	-	-	+	+	-	.	-	-	-	+	-	-	.	.	+	+	-	-	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
n̻	.	-	-	-	-	+	+	-	.	-	-	-	+	-	-	.	.	+	+	+	-	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
n̻ʲ	.	-	-	-	-	+	+	-	.	-	-	-	+	-	-	.	.	+	+	+	-	.	+	-	+	-	.	-	-	+	-	-	-	-	-	-	-	-
n̻ː	.	-	-	-	+	+	+	-	.	-	-	-	+	-	-	.	.	+	+	+	-	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
n͈ː	.	-	-	-	+	+	+	-	.	-	-	-	+	-	-	.	.	+	+	-	-	-	.	.	.	.	.	-	-	+	-	-	-	+	-	-	-	-
n͉	.	-	-	-	-	+	+	-	.	-	-	-	+	-	-	.	.	+	+	-	-	-	.	.	.	.	.	-	-	+	-	-	-	-	+	-	-	-
nθ	.	-	-	-	-	+	.	.	+	-	-	-	.	-	-	.	.	+	+	.	-	-	.	.	.	.	.	-	-	.	-	-	-	-	-	-	-	-
o	.	-	+	-	-	-	+	+	.	+	-	-	-	-	+	+	-	-	.	.	.	+	-	-	-	+	+	-	-	+	-	-	-	.	.	-	-	.
oa	.	-	+	-	-	-	+	+	.	+	-	-	-	-	.	+	-	-	.	.	.	+	-	.	-	.	+	-	-	+	-	-	-	.	.	-	-	.
oä	.	-	+	-	-	-	+	+	.	+	-	-	-	-	.	+	-	-	.	.	.	+	-	.	-	.	+	-	-	+	-	-	-	.	.	-	-	.
oe	.	-	+	-	-	-	+	+	.	+	-	-	-	-	.	+	-	-	.	.	.	+	-	-	.	.	+	-	-	+	-	-	-	.	.	-	-	.
oe̞	.	-	+	-	-	-	+	+	.	+	-	-	-	-	.	+	-	-	.	.	.	+	-	-	.	.	+	-	-	+	-	-	-	.	.	-	-	.
oi	.	-	+	-	-	-	+	+	.	+	-	-	-	-	.	+	-	-	.	.	.	+	.	-	.	.	+	-	-	+	-	-	-	.	.	-	-	.
oi̯	.	-	.	-	-	-	+	+	.	+	-	-	-	-	.	+	-	-	.	.	.	+	.	-	.	.	+	-	-	+	-	-	-	.	.	-	-	.
oo	.	-	+	-	-	-	+	+	.	+	-	-	-	-	+	+	-	-	.	.	.	+	-	-	-	+	+	-	-	+	-	-	-	.	.	-	-	.
ou	.	-	+	-	-	-	+	+	.	+	-	-	-	-	+	+	-	-	.	.	.	+	.	-	-	+	+	-	-	+	-	-	-	.	.	-	-	.
oũ	.	-	+	-	-	-	+	+	.	+	-	-	.	-	+	+	-	-	.	.	.	+	.	-	-	+	+	-	-	+	-	-	-	.	.	-	-	.
ou̙	.	-	+	-	-	-	+	+	.	+	-	-	-	-	+	+	-	-	.	.	.	+	.	-	-	+	+	.	-	+	-	-	-	.	.	-	-	.
ou̯	.	-	.	-	-	-	+	+	.	+	-	-	-	-	+	+	-	-	.	.	.	+	.	-	-	+	+	-	-	+	-	-	-	.	.	-	-	.
oɔ	.	-	+	-	-	-	+	+	.	+	-	-	-	-	+	+	-	-	.	.	.	+	-	-	-	+	.	-	-	+	-	-	-	.	.	-	-	.
oɘ	.	-	+	-	-	-	+	+	.	+	-	-	-	-	.	+	-	-	.	.	.	+	-	-	-	.	+	-	-	+	-	-	-	.	.	-	-	.
oə	.	-	+	-	-	-	+	+	.	+	-	-	-	-	.	+	-	-	.	.	.	+	-	-	-	.	.	-	-	+	-	-	-	.	.	-	-	.
oəɪ	.	-	+	-	-	-	+	+	.	+	-	-	-	-	.	+	-	-	.	.	.	+	.	-	.	.	.	-	-	+	-	-	-	.	.	-	-	.
oɛ	.	-	+	-	-	-	+	+	.	+	-	-	-	-	.	+	-	-	.	.	.	+	-	-	.	.	.	-	-	+	-	-	-	.	.	-	-	.
oɪ	.	-	+	-	-	-	+	+	.	+	-	-	-	-	.	+	-	-	.	.	.	+	.	-	.	.	.	-	-	+	-	-	-	.	.	-	-	.
oɪ̯	.	-	.	-	-	-	+	+	.	+	-	-	-	-	.	+	-	-	.	.	.	+	.	-	.	.	.	-	-	+	-	-	-	.	.	-	-	.
oʊ	.	-	+	-	-	-	+	+	.	+	-	-	-	-	+	+	-	-	.	.	.	+	.	-	-	+	.	-	-	+	-	-	-	.	.	-	-	.
oʊ̃	.	-	+	-	-	-	+	+	.	+	-	-	.	-	+	+	-	-	.	.	.	+	.	-	-	+	.	-	-	+	-	-	-	.	.	-	-	.
oʊ̯	.	-	.	-	-	-	+	+	.	+	-	-	-	-	+	+	-	-	.	.	.	+	.	-	-	+	.	-	-	+	-	-	-	.	.	-	-	.
oʌ̯	.	-	.	-	-	-	+	+	.	+	-	-	-	-	.	+	-	-	.	.	.	+	-	-	-	+	.	-	-	+	-	-	-	.	.	-	-	.
oˀ	.	-	+	-	-	-	+	+	.	+	-	-	-	-	+	+	-	-	.	.	.	+	-	-	-	+	+	-	-	+	-	-	+	.	.	-	-	.
oː	.	-	+	-	+	-	+	+	.	+	-	-	-	-	+	+	-	-	.	.	.	+	-	-	-	+	+	-	-	+	-	-	-	.	.	-	-	.
oːu	.	-	+	-	.	-	+	+	.	+	-	-	-	-	+	+	-	-	.	.	.	+	.	-	-	+	+	-	-	+	-	-	-	.	.	-	-	.
oːu̯	.	-	.	-	.	-	+	+	.	+	-	-	-	-	+	+	-	-	.	.	.	+	.	-	-	+	+	-	-	+	-	-	-	.	.	-	-	.
oːə	.	-	+	-	.	-	+	+	.	+	-	-	-	-	.	+	-	-	.	.	.	+	-	-	-	.	.	-	-	+	-	-	-	.	.	-	-	.
oˑ	.	-	+	+	+	-	+	+	.	+	-	-	-	-	+	+	-	-	.	.	.	+	-	-	-	+	+	-	-	+	-	-	-	.	.	-	-	.
o˞	.	-	+	-	-	-	+	+	.	+	-	-	-	-	+	+	-	+	+	+	+	+	-	-	-	+	+	-	-	+	-	-	-	.	.	-	-	.
oˤ	.	-	+	-	-	-	+	+	.	+	-	-	-	-	+	+	-	-	.	.	.	+	-	-	-	+	+	.	-	+	-	-	-	.	.	-	-	.
oˤː	.	-	+	-	+	-	+	+	.	+	-	-	-	-	+	+	-	-	.	.	.	+	-	-	-	+	+	.	-	+	-	-	-	.	.	-	-	.
õ	.	-	+	-	-	-	+	+	.	+	-	-	+	-	+	+	-	-	.	.	.	+	-	-	-	+	+	-	-	+	-	-	-	.	.	-	-	.
õã	.	-	+	-	-	-	+	+	.	+	-	-	+	-	.	+	-	-	.	.	.	+	-	.	-	.	+	-	-	+	-	-	-	.	.	-	-	.
õi	.	-	+	-	-	-	+	+	.	+	-	-	.	-	.	+	-	-	.	.	.	+	.	-	.	.	+	-	-	+	-	-	-	.	.	-	-	.
õi̯	.	-	.	-	-	-	+	+	.	+	-	-	.	-	.	+	-	-	.	.	.	+	.	-	.	.	+	-	-	+	-	-	-	.	.	-	-	.
õũ	.	-	+	-	-	-	+	+	.	+	-	-	+	-	+	+	-	-	.	.	.	+	.	-	-	+	+	-	-	+	-	-	-	.	.	-	-	.
õɪ̯̃	.	-	.	-	-	-	+	+	.	+	-	-	+	-	.	+	-	-	.	.	.	+	.	-	.	.	.	-	-	+	-	-	-	.	.	-	-	.
õː	.	-	+	-	+	-	+	+	.	+	-	-	+	-	+	+	-	-	.	.	.	+	-	-	-	+	+	-	-	+	-	-	-	.	.	-	-	.
õˤ	.	-	+	-	-	-	+	+	.	+	-	-	+	-	+	+	-	-	.	.	.	+	-	-	-	+	+	.	-	+	-	-	-	.	.	-	-	.
ŏ	.	-	+	+	-	-	+	+	.	+	-	-	-	-	+	+	-	-	.	.	.	+	-	-	-	+	+	-	-	+	-	-	-	.	.	-	-	.
ŏ̃	.	-	+	+	-	-	+	+	.	+	-	-	+	-	+	+	-	-	.	.	.	+	-	-	-	+	+	-	-	+	-	-	-	.	.	-	-	.
ö	.	-	+	-	-	-	+	+	.	+	-	-	-	-	+	+	-	-	.	.	.	+	-	-	-	.	.	-	-	+	-	-	-	.	.	-	-	.
o̘	.	-	+	-	-	-	+	+	.	+	-	-	-	-	+	+	-	-	.	.	.	+	-	-	-	+	+	-	+	+	-	-	-	.	.	-	-	.
o̘ː	.	-	+	-	+	-	+	+	.	+	-	-	-	-	+	+	-	-	.	.	.	+	-	-	-	+	+	-	+	+	-	-	-	.	.	-	-	.
o̙	.	-	+	-	-	-	+	+	.	+	-	-	-	-	+	+	-	-	.	.	.	+	-	-	-	+	+	+	-	+	-	-	-	.	.	-	-	.
o̝	.	-	+	-	-	-	+	+	.	+	-	-	-	-	+	+	-	-	.	.	.	+	.	-	-	+	+	-	-	+	-	-	-	.	.	-	-	.
o̞	.	-	+	-	-	-	+	+	.	+	-	-	-	-	+	+	-	-	.	.	.	+	-	-	-	+	.	-	-	+	-	-	-	.	.	-	-	.
o̞a	.	-	+	-	-	-	+	+	.	+	-	-	-	-	.	+	-	-	.	.	.	+	-	.	-	.	.	-	-	+	-	-	-	.	.	-	-	.
o̞aˤ	.	-	+	-	-	-	+	+	.	+	-	-	-	-	.	+	-	-	.	.	.	+	-	.	-	.	.	.	-	+	-	-	-	.	.	-	-	.
o̞ä	.	-	+	-	-	-	+	+	.	+	-	-	-	-	.	+	-	-	.	.	.	+	-	.	-	.	.	-	-	+	-	-	-	.	.	-	-	.
o̞e̞	.	-	+	-	-	-	+	+	.	+	-	-	-	-	.	+	-	-	.	.	.	+	-	-	.	.	.	-	-	+	-	-	-	.	.	-	-	.
o̞i	.	-	+	-	-	-	+	+	.	+	-	-	-	-	.	+	-	-	.	.	.	+	.	-	.	.	+	-	-	+	-	-	-	.	.	-	-	.
o̞iˤ	.	-	+	-	-	-	+	+	.	+	-	-	-	-	.	+	-	-	.	.	.	+	.	-	.	.	+	.	-	+	-	-	-	.	.	-	-	.
o̞i̯	.	-	.	-	-	-	+	+	.	+	-	-	-	-	.	+	-	-	.	.	.	+	.	-	.	.	+	-	-	+	-	-	-	.	.	-	-	.
o̞u	.	-	+	-	-	-	+	+	.	+	-	-	-	-	+	+	-	-	.	.	.	+	.	-	-	+	+	-	-	+	-	-	-	.	.	-	-	.
o̞ː	.	-	+	-	+	-	+	+	.	+	-	-	-	-	+	+	-	-	.	.	.	+	-	-	-	+	.	-	-	+	-	-	-	.	.	-	-	.
o̞ˤ	.	-	+	-	-	-	+	+	.	+	-	-	-	-	+	+	-	-	.	.	.	+	-	-	-	+	.	.	-	+	-	-	-	.	.	-	-	.
o̞ˤː	.	-	+	-	+	-	+	+	.	+	-	-	-	-	+	+	-	-	.	.	.	+	-	-	-	+	.	.	-	+	-	-	-	.	.	-	-	.
õ̞	.	-	+	-	-	-	+	+	.	+	-	-	+	-	+	+	-	-	.	.	.	+	-	-	-	+	.	-	-	+	-	-	-	.	.	-	-	.
õ̞ã	.	-	+	-	-	-	+	+	.	+	-	-	+	-	.	+	-	-	.	.	.	+	-	.	-	.	.	-	-	+	-	-	-	.	.	-	-	.
õ̞ãˤ	.	-	+	-	-	-	+	+	.	+	-	-	+	-	.	+	-	-	.	.	.	+	-	.	-	.	.	.	-	+	-	-	-	.	.	-	-	.
õ̞ĩ	.	-	+	-	-	-	+	+	.	+	-	-	+	-	.	+	-	-	.	.	.	+	.	-	.	.	+	-	-	+	-	-	-	.	.	-	-	.
õ̞ĩˤ	.	-	+	-	-	-	+	+	.	+	-	-	+	-	.	+	-	-	.	.	.	+	.	-	.	.	+	.	-	+	-	-	-	.	.	-	-	.
õ̞ũ	.	-	+	-	-	-	+	+	.	+	-	-	+	-	+	+	-	-	.	.	.	+	.	-	-	+	+	-	-	+	-	-	-	.	.	-	-	.
õ̞ː	.	-	+	-	+	-	+	+	.	+	-	-	+	-	+	+	-	-	.	.	.	+	-	-	-	+	.	-	-	+	-	-	-	.	.	-	-	.
õ̞ˤ	.	-	+	-	-	-	+	+	.	+	-	-	+	-	+	+	-	-	.	.	.	+	-	-	-	+	.	.	-	+	-	-	-	.	.	-	-	.
ŏ̞	.	-	+	+	-	-	+	+	.	+	-	-	-	-	+	+	-	-	.	.	.	+	-	-	-	+	.	-	-	+	-	-	-	.	.	-	-	.
ö̞	.	-	+	-	-	-	+	+	.	+	-	-	-	-	+	+	-	-	.	.	.	+	-	-	-	.	.	-	-	+	-	-	-	.	.	-	-	.
o̞̙	.	-	+	-	-	-	+	+	.	+	-	-	-	-	+	+	-	-	.	.	.	+	-	-	-	+	.	+	-	+	-	-	-	.	.	-	-	.
o̞̜	.	-	+	-	-	-	+	+	.	+	-	-	-	-	+	.	-	-	.	.	.	+	-	-	-	+	.	-	-	+	-	-	-	.	.	-	-	.
o̞̜ː	.	-	+	-	+	-	+	+	.	+	-	-	-	-	+	.	-	-	.	.	.	+	-	-	-	+	.	-	-	+	-	-	-	.	.	-	-	.
o̞̥	.	-	+	-	-	-	+	+	.	+	-	-	-	-	+	+	-	-	.	.	.	+	-	-	-	+	.	-	-	-	-	-	-	.	.	-	-	.
o̞̰	.	-	+	-	-	-	+	+	.	+	-	-	-	-	+	+	-	-	.	.	.	+	-	-	-	+	.	-	-	+	-	-	+	.	.	-	-	.
õ̞̰	.	-	+	-	-	-	+	+	.	+	-	-	+	-	+	+	-	-	.	.	.	+	-	-	-	+	.	-	-	+	-	-	+	.	.	-	-	.
o̟	.	-	+	-	-	-	+	+	.	+	-	-	-	-	+	+	-	-	.	.	.	+	-	-	-	.	+	-	-	+	-	-	-	.	.	-	-	.
o̟ˑ	.	-	+	+	+	-	+	+	.	+	-	-	-	-	+	+	-	-	.	.	.	+	-	-	-	.	+	-	-	+	-	-	-	.	.	-	-	.
o̟̞	.	-	+	-	-	-	+	+	.	+	-	-	-	-	+	+	-	-	.	.	.	+	-	-	-	.	.	-	-	+	-	-	-	.	.	-	-	.
o̠	.	-	+	-	-	-	+	+	.	+	-	-	-	-	+	+	-	-	-	+	.	+	-	-	-	+	+	-	-	+	-	-	-	.	.	-	-	.
o̤	.	-	+	-	-	-	+	+	.	+	-	-	-	-	+	+	-	-	.	.	.	+	-	-	-	+	+	-	-	+	-	+	-	.	.	-	-	.
o̤i̤	.	-	+	-	-	-	+	+	.	+	-	-	-	-	.	+	-	-	.	.	.	+	.	-	.	.	+	-	-	+	-	+	-	.	.	-	-	.
o̤ː	.	-	+	-	+	-	+	+	.	+	-	-	-	-	+	+	-	-	.	.	.	+	-	-	-	+	+	-	-	+	-	+	-	.	.	-	-	.
o̤ˑ	.	-	+	+	+	-	+	+	.	+	-	-	-	-	+	+	-	-	.	.	.	+	-	-	-	+	+	-	-	+	-	+	-	.	.	-	-	.
o̯	.	-	-	-	-	-	+	+	.	+	-	-	-	-	+	+	-	-	.	.	.	+	-	-	-	+	+	-	-	+	-	-	-	.	.	-	-	.
o̯ä	.	-	.	-	-	-	+	+	.	+	-	-	-	-	.	+	-	-	.	.	.	+	-	.	-	.	+	-	-	+	-	-	-	.	.	-	-	.
o̰	.	-	+	-	-	-	+	+	.	+	-	-	-	-	+	+	-	-	.	.	.	+	-	-	-	+	+	-	-	+	-	-	+	.	.	-	-	.
o̰ː	.	-	+	-	+	-	+	+	.	+	-	-	-	-	+	+	-	-	.	.	.	+	-	-	-	+	+	-	-	+	-	-	+	.	.	-	-	.
o̰ˑ	.	-	+	+	+	-	+	+	.	+	-	-	-	-	+	+	-	-	.	.	.	+	-	-	-	+	+	-	-	+	-	-	+	.	.	-	-	.
õ̰	.	-	+	-	-	-	+	+	.	+	-	-	+	-	+	+	-	-	.	.	.	+	-	-	-	+	+	-	-	+	-	-	+	.	.	-	-	.
