INVENTORY	GLOTTOCODE	SEGMENTS
107	isla1278	a ã b d e̞ ẽ̞ ɛː ɤ̞ ɤ̞̃ f ɡ h i ĩ j k l m n ɔː p ɾ s t t̠ʃ u ũ ɰ w
108	wapi1253	a ã aː bˀ d dˀ ɡ h i ĩ iː ɨ ɨ̃ ɨː kʰ m ɲ̟ pʰ ɾ s ʃ tʰ t̠ʃʰ u ũ uː w ʐ ʔ
109	wayu1243	a ã aː ə ə̃ əː ɛ ɛ̃ ɛː h ʰk ʰp ʰt ʰt̠ʃ i ĩ iː j k kː m mː n nː ŋ ɔ ɔ̃ ɔː p pː r ɺ ɺː s sː ʃ ʃː t tː t̠ʃ t̠ʃː u ũ uː w ʔ
110	asha1243	a c̟ e h i j k m n ɲ̟ o p ɾ s ʃ t ts t̠ʃ w ʔ β
111	igna1246	a b d ɛ f h i j k l m n ɲ̟ ŋ p ɾ s ʃ t ts t̠ʃ u w ʔ β
112	yane1238	a aː e eː ɣ j k lʲ m mʲ n ɲ o oː p pʲ ɾ s ʃ t tsʰ t̠ʃʰ t̠ʃʲʰ ʈʂʰ w x ʐ ʔ β
113	shua1257	a ã i ĩ j k m n ɲ̟ p pʼ ɾ s ʃ t ts t̠ʃ u ũ ɯ ɯ̃ w x ʔ
114	waim1255	˥ ˩ a ã b d ɛ ɛ̃ ɡ h i ĩ ɨ ɨ̃ j k o õ p ɾ s t u ũ w
115	ticu1245	˥ ˥˦ ˦ ˦˧ ˦˩ ˧ ˧˩ ˨ ˩ a ã b d d̠ʒ e̞ f ɡ i ĩ ɨ ɨ̃ k kʷ m n ɲ ŋ o̞ õ̞ p ɾ s t t̠ʃ u ũ w ʔ
116	gali1262	ɐ ɐː b d e̞ː ɛ ɡ h i iː j k m n ŋ o̞ o̞ː p ɾ s t u uː ɯ ɯː w ʔ β
117	ocai1244	˥ ˩ a ã b dʲ dz d̠ʒ ɛ ɡ h i ĩ k m mː n nː ɲ ɲː o̞ õ̞ p ɸ ɾ s ʃ t tʲ ts t̠ʃ ɯ ɯ̃ w x ʒ ʔ β
118	siri1273	a ã b e ẽ h i ĩ j k kʲ m n ɲ̟ ŋ o õ p ɾ s ʃ t t̠ʃ u ũ w z̞̩ˠ z̞̩̃ˠ
119	para1311	a ã ð e ẽ f ɣ ɣʷ i ĩ ɨ ɨ̃ k kʷ l ʎ m n ɲ ŋ ŋʷ o õ p r ɾ s s̻ t t̠ʃ u ũ v x xʷ ʔ
