GRAPHEME	SYLLABIC	vocalic	V-place	approximant	vocoid	sonorant	continuant	voice	constricted	lateral	nasal	strident	spread	ATR	anterior (C)	anterior (V)	anterior (any)	coronal (C)	coronal (V)	coronal (any)	labial (C)	distributed (C)	distributed (V)	distributed (any)	C-place	pharyngeal (C)	lingual (C)	dorsal (C)	pharyngeal (V)	labial (V)	lingual (V)	dorsal (V)	LONG	EXTRA	open1	open2	open3	open4	open5	open6	pharyngeal (any)	labial (any)	lingual (any)	dorsal (any)
uˤ	+	x	x	+	+	+	+	+	-	-	-	-	-	+	n	n	n	-	-	-	-	n	n	n	x	-	-	-	+	+	+	+	-	-	.	.	.	.	.	.	+	+	+	+
uˤʔ	+	x	x	+	+	+	+	+	+	-	-	-	-	+	n	n	n	-	-	-	-	n	n	n	x	-	-	-	+	+	+	+	-	-	.	.	.	.	.	.	+	+	+	+
ũ	+	x	x	+	+	+	+	+	-	-	+	-	-	+	n	n	n	-	-	-	-	n	n	n	x	-	-	-	-	+	+	+	-	-	.	.	.	.	.	.	-	+	+	+
ũʔ	+	x	x	+	+	+	+	+	+	-	+	-	-	+	n	n	n	-	-	-	-	n	n	n	x	-	-	-	-	+	+	+	-	-	.	.	.	.	.	.	-	+	+	+
ũʔũ	+	x	x	+	+	+	+	+	+	-	+	-	-	+	n	n	n	-	-	-	-	n	n	n	x	-	-	-	-	+	+	+	-	-	.	.	.	.	.	.	-	+	+	+
ũː	+	x	x	+	+	+	+	+	-	-	+	-	-	+	n	n	n	-	-	-	-	n	n	n	x	-	-	-	-	+	+	+	+	-	.	.	.	.	.	.	-	+	+	+
ũˤ	+	x	x	+	+	+	+	+	-	-	+	-	-	+	n	n	n	-	-	-	-	n	n	n	x	-	-	-	+	+	+	+	-	-	.	.	.	.	.	.	+	+	+	+
u̝	+	x	x	+	+	+	+	+	-	-	-	-	-	+	n	n	n	-	-	-	-	n	n	n	x	-	-	-	-	+	+	+	-	-	.	.	.	.	.	.	-	+	+	+
u̝ː	+	x	x	+	+	+	+	+	-	-	-	-	-	+	n	n	n	-	-	-	-	n	n	n	x	-	-	-	-	+	+	+	+	-	.	.	.	.	.	.	-	+	+	+
u̞	+	x	x	+	+	+	+	+	-	-	-	-	-	.	n	n	n	-	-	-	-	n	n	n	x	-	-	-	-	+	+	+	-	-	.	.	.	.	.	.	-	+	+	+
ṳ	+	x	x	+	+	+	+	+	-	-	-	-	+	+	n	n	n	-	-	-	-	n	n	n	x	-	-	-	-	+	+	+	-	-	.	.	.	.	.	.	-	+	+	+
ṳo̤	+	x	x	+	+	+	+	+	-	-	-	-	+	+	n	n	n	-	-	-	-	n	n	n	x	-	-	-	-	+	+	+	+	-	-	-	-	-	-	-	-	+	+	+
ṳʔ	+	x	x	+	+	+	+	+	+	-	-	-	+	+	n	n	n	-	-	-	-	n	n	n	x	-	-	-	-	+	+	+	-	-	.	.	.	.	.	.	-	+	+	+
ṳː	+	x	x	+	+	+	+	+	-	-	-	-	+	+	n	n	n	-	-	-	-	n	n	n	x	-	-	-	-	+	+	+	+	-	.	.	.	.	.	.	-	+	+	+
ṳˤ	+	x	x	+	+	+	+	+	-	-	-	-	+	+	n	n	n	-	-	-	-	n	n	n	x	-	-	-	+	+	+	+	-	-	.	.	.	.	.	.	+	+	+	+
ṳ̃	+	x	x	+	+	+	+	+	-	-	+	-	+	-	n	n	n	-	-	-	-	n	n	n	x	-	-	-	-	+	+	+	-	-	.	.	.	.	.	.	-	+	+	+
ṳ̃ˤ	+	x	x	+	+	+	+	+	-	-	+	-	+	+	n	n	n	-	-	-	-	n	n	n	x	-	-	-	+	+	+	+	-	-	.	.	.	.	.	.	+	+	+	+
u̥	+	x	x	+	+	+	+	-	-	-	-	-	-	+	n	n	n	-	-	-	-	n	n	n	x	-	-	-	-	+	+	+	-	-	.	.	.	.	.	.	-	+	+	+
u̯o	+	x	x	+	+	+	+	+	-	-	-	-	-	+	n	n	n	-	-	-	-	n	n	n	x	-	-	-	-	+	+	+	+	-	-	-	-	-	-	-	-	+	+	+
ṵ	+	x	x	+	+	+	+	+	+	-	-	-	-	+	n	n	n	-	-	-	-	n	n	n	x	-	-	-	-	+	+	+	-	-	.	.	.	.	.	.	-	+	+	+
ṵː	+	x	x	+	+	+	+	+	+	-	-	-	-	+	n	n	n	-	-	-	-	n	n	n	x	-	-	-	-	+	+	+	+	-	.	.	.	.	.	.	-	+	+	+
v	-	o	o	-	-	-	+	+	-	-	-	+	-	n	n	n	n	-	o	-	+	n	n	n	x	-	-	-	o	o	o	o	-	-	.	.	.	.	.	.	-	+	-	-
vɾ	-	o	o	+	-	+	+	+	-	-	-	-	-	n	n	n	n	-	o	-	+	n	n	n	x	-	-	-	o	o	o	o	-	-	.	.	.	.	.	.	-	+	-	-
vʰ	-	o	o	-	-	-	+	+	-	-	-	+	+	n	n	n	n	-	o	-	+	n	n	n	x	-	-	-	o	o	o	o	-	-	.	.	.	.	.	.	-	+	-	-
vʲ	-	x	x	-	-	-	+	+	-	-	-	+	-	n	n	-	-	-	+	+	+	n	+	+	x	-	-	-	-	-	+	-	-	-	.	.	.	.	.	.	-	+	+	-
vʷ	-	x	x	-	-	-	+	+	-	-	-	+	-	n	n	n	n	-	-	-	+	n	n	n	x	-	-	-	+	+	-	-	-	-	.	.	.	.	.	.	+	+	-	-
vˡ	-	o	o	-	-	-	+	+	-	+	-	+	-	n	n	n	n	-	o	-	+	n	n	n	x	-	-	-	o	o	o	o	-	-	.	.	.	.	.	.	-	+	-	-
vˤ	-	x	x	-	-	-	+	+	-	-	-	+	-	n	n	n	n	-	-	-	+	n	n	n	x	-	-	-	+	-	-	-	-	-	.	.	.	.	.	.	+	+	-	-
ṽʲ	-	x	x	-	-	-	+	+	-	-	+	+	-	n	n	-	-	-	+	+	+	n	+	+	x	-	-	-	-	-	+	-	-	-	.	.	.	.	.	.	-	+	+	-
v̌	-	o	o	+	-	+	+	+	-	-	-	-	-	n	n	n	n	-	o	-	+	n	n	n	x	-	-	-	o	o	o	o	-	-	.	.	.	.	.	.	-	+	-	-
v̤	-	o	o	-	-	-	+	+	-	-	-	+	+	n	n	n	n	-	o	-	+	n	n	n	x	-	-	-	o	o	o	o	-	-	.	.	.	.	.	.	-	+	-	-
v̥	-	o	o	-	-	-	+	-	-	-	-	+	-	n	n	n	n	-	o	-	+	n	n	n	x	-	-	-	o	o	o	o	-	-	.	.	.	.	.	.	-	+	-	-
w	-	x	x	+	+	+	+	+	-	-	-	-	-	+	n	n	n	-	-	-	-	n	n	n	x	-	-	-	-	+	+	+	-	-	-	-	-	-	-	-	-	+	+	+
w*	-	x	x	+	+	+	+	+	-	-	-	-	-	-	n	n	n	-	-	-	-	n	n	n	x	-	-	-	-	+	+	+	-	-	-	-	-	-	-	-	-	+	+	+
wɦ	-	x	x	+	+	+	+	+	-	-	-	-	-	+	n	n	n	-	-	-	-	n	n	n	x	-	-	-	-	+	+	+	-	-	-	-	-	-	-	-	-	+	+	+
wʰ	-	x	x	+	+	+	+	+	-	-	-	-	+	+	n	n	n	-	-	-	-	n	n	n	x	-	-	-	-	+	+	+	-	-	-	-	-	-	-	-	-	+	+	+
wʲ	-	x	x	+	+	+	+	+	-	-	-	-	-	+	n	-	-	-	+	+	-	n	-	-	x	-	-	-	-	+	+	+	-	-	-	-	-	-	-	-	-	+	+	+
wʼ	-	x	x	+	+	+	+	+	+	-	-	-	-	+	n	n	n	-	-	-	-	n	n	n	x	-	-	-	-	+	+	+	-	-	-	-	-	-	-	-	-	+	+	+
wː	-	x	x	+	+	+	+	+	-	-	-	-	-	+	n	n	n	-	-	-	-	n	n	n	x	-	-	-	-	+	+	+	+	-	-	-	-	-	-	-	-	+	+	+
wˤ	-	x	x	+	+	+	+	+	-	-	-	-	-	+	n	n	n	-	-	-	-	n	n	n	x	-	-	-	+	+	+	+	-	-	-	-	-	-	-	-	+	+	+	+
w̃	-	x	x	+	+	+	+	+	-	-	+	-	-	+	n	n	n	-	-	-	-	n	n	n	x	-	-	-	-	+	+	+	-	-	-	-	-	-	-	-	-	+	+	+
x	-	o	o	-	-	-	+	-	-	-	-	-	-	n	n	n	n	-	o	-	-	n	n	n	x	-	+	+	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	+
xʰ	-	o	o	-	-	-	+	-	-	-	-	-	+	n	n	n	n	-	o	-	-	n	n	n	x	-	+	+	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	+
xʲ	-	x	x	-	-	-	+	-	-	-	-	-	-	n	n	-	-	-	+	+	-	n	+	+	x	-	+	+	-	-	+	-	-	-	.	.	.	.	.	.	-	-	+	+
xʷ	-	x	x	-	-	-	+	-	-	-	-	-	-	n	n	n	n	-	-	-	-	n	n	n	x	-	+	+	+	+	-	-	-	-	.	.	.	.	.	.	+	+	+	+
xʼ	-	o	o	-	-	-	+	-	+	-	-	-	-	n	n	n	n	-	o	-	-	n	n	n	x	-	+	+	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	+
xː	-	o	o	-	-	-	+	-	-	-	-	-	-	n	n	n	n	-	o	-	-	n	n	n	x	-	+	+	o	o	o	o	+	-	.	.	.	.	.	.	-	-	+	+
x̀	-	o	o	-	-	-	+	-	+	-	-	-	-	n	n	n	n	-	o	-	-	n	n	n	x	-	+	+	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	+
x̀ʷ	-	x	x	-	-	-	+	-	+	-	-	-	-	n	n	n	n	-	-	-	-	n	n	n	x	-	+	+	+	+	-	-	-	-	.	.	.	.	.	.	+	+	+	+
x͡ɸ	-	o	o	-	-	-	+	-	-	-	-	-	-	n	n	n	n	-	o	-	+	n	n	n	x	-	+	+	o	o	o	o	-	-	.	.	.	.	.	.	-	+	+	+
y	+	x	x	+	+	+	+	+	-	-	-	-	-	+	n	-	-	-	+	+	-	n	+	+	x	-	-	-	-	+	+	-	-	-	.	.	.	.	.	.	-	+	+	-
yi	+	x	x	+	+	+	+	+	-	-	-	-	-	+	n	-	-	-	+	+	-	n	+	+	x	-	-	-	-	+	+	-	+	-	.	.	.	.	.	.	-	+	+	-
yː	+	x	x	+	+	+	+	+	-	-	-	-	-	+	n	-	-	-	+	+	-	n	+	+	x	-	-	-	-	+	+	-	+	-	.	.	.	.	.	.	-	+	+	-
ỹ	+	x	x	+	+	+	+	+	-	-	+	-	-	+	n	-	-	-	+	+	-	n	+	+	x	-	-	-	-	+	+	-	-	-	.	.	.	.	.	.	-	+	+	-
z	-	o	o	-	-	-	+	+	-	-	-	+	-	n	+	n	+	+	o	+	-	-	n	-	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
zʲ	-	x	x	-	-	-	+	+	-	-	-	+	-	n	+	-	+	+	+	+	-	-	+	+	x	-	+	-	-	-	+	-	-	-	.	.	.	.	.	.	-	-	+	-
zʷ	-	x	x	-	-	-	+	+	-	-	-	+	-	n	+	n	+	+	-	+	-	-	n	-	x	-	+	-	+	+	-	-	-	-	.	.	.	.	.	.	+	+	+	-
zʷ͡ɣw	-	x	x	-	-	-	+	+	-	-	-	+	-	n	+	n	+	+	-	+	-	-	n	-	x	-	+	+	+	+	-	-	-	-	.	.	.	.	.	.	+	+	+	+
zʼ	-	o	o	-	-	-	+	+	+	-	-	+	-	n	+	n	+	+	o	+	-	-	n	-	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
zˤ	-	x	x	-	-	-	+	+	-	-	-	+	-	n	+	n	+	+	-	+	-	-	n	-	x	-	+	-	+	-	-	-	-	-	.	.	.	.	.	.	+	-	+	-
z̤	-	o	o	-	-	-	+	+	-	-	-	+	+	n	+	n	+	+	o	+	-	-	n	-	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
z̪	-	o	o	-	-	-	+	+	-	-	-	+	-	n	+	n	+	+	o	+	-	+	n	+	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
z̪v	-	o	o	-	-	-	+	+	-	-	-	+	-	n	+	n	+	+	o	+	+	+	n	+	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	+	+	-
z̪ʲ	-	x	x	-	-	-	+	+	-	-	-	+	-	n	+	-	+	+	+	+	-	+	+	+	x	-	+	-	-	-	+	-	-	-	.	.	.	.	.	.	-	-	+	-
z̪ː	-	o	o	-	-	-	+	+	-	-	-	+	-	n	+	n	+	+	o	+	-	+	n	+	x	-	+	-	o	o	o	o	+	-	.	.	.	.	.	.	-	-	+	-
z̪ˤ	-	x	x	-	-	-	+	+	-	-	-	+	-	n	+	n	+	+	-	+	-	+	n	+	x	-	+	-	+	-	-	-	-	-	.	.	.	.	.	.	+	-	+	-
z̪ˤː	-	x	x	-	-	-	+	+	-	-	-	+	-	n	+	n	+	+	-	+	-	+	n	+	x	-	+	-	+	-	-	-	+	-	.	.	.	.	.	.	+	-	+	-
z̻	-	o	o	-	-	-	+	+	-	-	-	+	-	n	+	n	+	+	o	+	-	+	n	+	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
z̻ˤ	-	x	x	-	-	-	+	+	-	-	-	+	-	n	-	n	-	+	-	+	-	+	n	+	x	-	+	-	+	-	-	-	-	-	.	.	.	.	.	.	+	-	+	-
z͡ɣw	-	x	x	-	-	-	+	+	-	-	-	+	-	n	+	n	+	+	-	+	-	-	n	-	x	-	+	+	+	+	-	-	-	-	.	.	.	.	.	.	+	+	+	+
æ	+	x	x	+	+	+	+	+	-	-	-	-	-	+	n	-	-	-	+	+	-	n	+	+	x	-	-	-	-	-	+	-	-	-	.	.	.	.	.	.	-	-	+	-
æː	+	x	x	+	+	+	+	+	-	-	-	-	-	+	n	-	-	-	+	+	-	n	+	+	x	-	-	-	-	-	+	-	+	-	.	.	.	.	.	.	-	-	+	-
æ̃	+	x	x	+	+	+	+	+	-	-	+	-	-	+	n	-	-	-	+	+	-	n	+	+	x	-	-	-	-	-	+	-	-	-	.	.	.	.	.	.	-	-	+	-
æ̞	+	x	x	+	+	+	+	+	-	-	-	-	-	-	n	-	-	-	+	+	-	n	+	+	x	-	-	-	-	-	+	-	-	-	.	.	.	.	.	.	-	-	+	-
ð	-	o	o	-	-	-	+	+	-	-	-	-	-	n	+	n	+	+	o	+	-	+	n	+	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
ðn	-	o	o	-	-	.	+	-	-	-	+	-	-	n	+	n	+	+	o	+	-	+	n	+	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
ðʲ	-	x	x	-	-	-	+	+	-	-	-	-	-	n	+	-	+	+	+	+	-	+	+	+	x	-	+	-	-	-	+	-	-	-	.	.	.	.	.	.	-	-	+	-
ðˠ	-	x	x	-	-	-	+	+	-	-	-	-	-	n	+	n	+	+	-	+	-	+	n	+	x	-	+	-	-	-	+	+	-	-	.	.	.	.	.	.	-	-	+	+
ðˤ	-	x	x	-	-	-	+	+	-	-	-	-	-	n	+	n	+	+	-	+	-	+	n	+	x	-	+	-	+	-	-	-	-	-	.	.	.	.	.	.	+	-	+	-
ø	+	x	x	+	+	+	+	+	-	-	-	-	-	+	n	-	-	-	+	+	-	n	+	+	x	-	-	-	-	+	+	-	-	-	.	.	.	.	.	.	-	+	+	-
øə	+	x	x	+	+	+	+	+	-	-	-	-	-	+	n	-	-	-	+	+	-	n	+	+	x	-	-	-	-	+	+	-	+	-	-	-	-	-	-	-	-	+	+	-
øː	+	x	x	+	+	+	+	+	-	-	-	-	-	+	n	-	-	-	+	+	-	n	+	+	x	-	-	-	-	+	+	-	+	-	.	.	.	.	.	.	-	+	+	-
ø̆	+	x	x	+	+	+	+	+	-	-	-	-	-	+	n	-	-	-	+	+	-	n	+	+	x	-	-	-	-	+	+	-	-	+	.	.	.	.	.	.	-	+	+	-
ħ	-	o	o	-	-	-	+	-	-	-	-	-	-	n	n	n	n	-	o	-	-	n	n	n	x	+	-	-	o	o	o	o	-	-	.	.	.	.	.	.	+	-	-	-
ħʷ	-	x	x	-	-	-	+	-	-	-	-	-	-	n	n	n	n	-	-	-	-	n	n	n	x	+	-	-	+	+	-	-	-	-	.	.	.	.	.	.	+	+	-	-
ŋ	-	o	o	-	-	+	-	+	-	-	+	-	-	n	n	n	n	-	o	-	-	n	n	n	x	-	+	+	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	+
ŋg̥	-	o	o	-	-	-	-	-	-	-	+	-	-	n	n	n	n	-	o	-	-	n	n	n	x	-	+	+	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	+
ŋkxʼ	-	o	o	-	-	-	-	-	+	-	+	-	-	n	n	n	n	-	o	-	-	n	n	n	x	-	+	+	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	+
ŋtw	-	x	x	-	-	-	-	-	-	-	+	-	-	n	+	n	+	+	-	+	-	-	n	-	x	-	+	-	+	+	-	-	-	-	.	.	.	.	.	.	+	+	+	-
ŋʰ	-	o	o	-	-	+	-	+	-	-	+	-	+	n	n	n	n	-	o	-	-	n	n	n	x	-	+	+	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	+
ŋʷ	-	x	x	-	-	+	-	+	-	-	+	-	-	n	n	n	n	-	-	-	-	n	n	n	x	-	+	+	+	+	-	-	-	-	.	.	.	.	.	.	+	+	+	+
ŋʼ	-	o	o	-	-	+	-	+	+	-	+	-	-	n	n	n	n	-	o	-	-	n	n	n	x	-	+	+	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	+
ŋː	-	o	o	-	-	+	-	+	-	-	+	-	-	n	n	n	n	-	o	-	-	n	n	n	x	-	+	+	o	o	o	o	+	-	.	.	.	.	.	.	-	-	+	+
ŋ̥	-	o	o	-	-	+	-	-	-	-	+	-	-	n	n	n	n	-	o	-	-	n	n	n	x	-	+	+	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	+
ŋ̥ʰ	-	o	o	-	-	+	-	-	-	-	+	-	+	n	n	n	n	-	o	-	-	n	n	n	x	-	+	+	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	+
ŋ͡m	-	o	o	-	-	+	-	+	-	-	+	-	-	n	n	n	n	-	o	-	+	n	n	n	x	-	+	+	o	o	o	o	-	-	.	.	.	.	.	.	-	+	+	+
ŋ͡mʲ	-	x	x	-	-	+	-	+	-	-	+	-	-	n	n	-	-	-	+	+	+	n	+	+	x	-	+	+	-	-	+	-	-	-	.	.	.	.	.	.	-	+	+	+
œ	+	x	x	+	+	+	+	+	-	-	-	-	-	-	n	-	-	-	+	+	-	n	+	+	x	-	-	-	-	+	+	-	-	-	.	.	.	.	.	.	-	+	+	-
œi	+	x	x	+	+	+	+	+	-	-	-	-	-	-	n	-	-	-	+	+	-	n	+	+	x	-	-	-	-	+	+	-	+	-	-	-	-	-	-	-	-	+	+	-
œu	+	x	x	+	+	+	+	+	-	-	-	-	-	-	n	-	-	-	+	+	-	n	+	+	x	-	-	-	-	+	+	-	+	-	-	-	-	-	-	-	-	+	+	-
œː	+	x	x	+	+	+	+	+	-	-	-	-	-	-	n	-	-	-	+	+	-	n	+	+	x	-	-	-	-	+	+	-	+	-	.	.	.	.	.	.	-	+	+	-
œ̃	+	x	x	+	+	+	+	+	-	-	+	-	-	-	n	-	-	-	+	+	-	n	+	+	x	-	-	-	-	+	+	-	-	-	.	.	.	.	.	.	-	+	+	-
ǀ	-	o	o	-	-	-	-	-	-	-	-	-	-	n	+	n	+	+	o	+	-	+	n	+	x	-	+	+	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	+
ǀkxʔ	-	o	o	-	-	-	-	-	+	-	-	-	-	n	+	n	+	+	o	+	-	+	n	+	x	-	+	+	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	+
ǀn	-	o	o	-	-	-	-	-	-	-	+	-	-	n	+	n	+	+	o	+	-	+	n	+	x	-	+	+	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	+
ǀn̥	-	o	o	-	-	-	-	-	-	-	+	-	-	n	+	n	+	+	o	+	-	+	n	+	x	-	+	+	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	+
ǀq	-	o	o	-	-	-	-	-	-	-	-	-	-	n	+	n	+	+	o	+	-	+	n	+	x	-	+	+	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	+
ǀqʔ	-	o	o	-	-	-	-	-	+	-	-	-	-	n	+	n	+	+	o	+	-	+	n	+	x	-	+	+	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	+
ǀqʰ	-	o	o	-	-	-	-	-	-	-	-	-	+	n	+	n	+	+	o	+	-	+	n	+	x	-	+	+	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	+
ǀs	-	o	o	-	-	-	-	-	-	-	-	+	-	n	+	n	+	+	o	+	-	+	n	+	x	-	+	+	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	+
ǀx	-	o	o	-	-	-	-	-	-	-	-	-	-	n	+	n	+	+	o	+	-	+	n	+	x	-	+	+	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	+
ǀʔ	-	o	o	-	-	-	-	-	+	-	-	-	-	n	+	n	+	+	o	+	-	+	n	+	x	-	+	+	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	+
ǀʰ	-	o	o	-	-	-	-	-	-	-	-	-	+	n	+	n	+	+	o	+	-	+	n	+	x	-	+	+	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	+
ǁ	-	o	o	-	-	-	-	-	-	+	-	-	-	n	+	n	+	+	o	+	-	-	n	-	x	-	+	+	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	+
ǁkxʔ	-	o	o	-	-	-	-	-	+	+	-	-	-	n	+	n	+	+	o	+	-	-	n	-	x	-	+	+	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	+
ǁn	-	o	o	-	-	-	-	+	-	+	+	-	-	n	+	n	+	+	o	+	-	-	n	-	x	-	+	+	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	+
ǁn̥	-	o	o	-	-	-	-	+	-	+	+	-	-	n	+	n	+	+	o	+	-	-	n	-	x	-	+	+	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	+
ǁq	-	o	o	-	-	-	-	-	-	+	-	-	-	n	+	n	+	+	o	+	-	-	n	-	x	-	+	+	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	+
ǁqʔ	-	o	o	-	-	-	-	-	+	+	-	-	-	n	+	n	+	+	o	+	-	-	n	-	x	-	+	+	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	+
ǁqʰ	-	o	o	-	-	-	-	-	-	+	-	-	+	n	+	n	+	+	o	+	-	-	n	-	x	-	+	+	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	+
ǁx	-	o	o	-	-	-	-	-	-	+	-	-	-	n	+	n	+	+	o	+	-	-	n	-	x	-	+	+	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	+
ǁʔ	-	o	o	-	-	-	-	-	+	+	-	-	-	n	+	n	+	+	o	+	-	-	n	-	x	-	+	+	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	+
ǁʰ	-	o	o	-	-	-	-	-	-	+	-	-	+	n	+	n	+	+	o	+	-	-	n	-	x	-	+	+	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	+
ǂ	-	o	o	-	-	-	-	-	-	-	-	-	-	n	-	n	-	+	o	+	-	+	n	+	x	-	+	+	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	+
ǂkxʔ	-	o	o	-	-	-	-	-	+	-	-	-	-	n	-	n	-	+	o	+	-	+	n	+	x	-	+	+	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	+
ǂn	-	o	o	-	-	-	-	-	-	-	+	-	-	n	-	n	-	+	o	+	-	+	n	+	x	-	+	+	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	+
ǂn̥	-	o	o	-	-	-	-	-	-	-	+	-	-	n	-	n	-	+	o	+	-	+	n	+	x	-	+	+	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	+
ǂq	-	o	o	-	-	-	-	-	-	-	-	-	-	n	-	n	-	+	o	+	-	+	n	+	x	-	+	+	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	+
ǂqʔ	-	o	o	-	-	-	-	-	+	-	-	-	-	n	-	n	-	+	o	+	-	+	n	+	x	-	+	+	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	+
ǂqʰ	-	o	o	-	-	-	-	-	-	-	-	-	+	n	-	n	-	+	o	+	-	+	n	+	x	-	+	+	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	+
ǂx	-	o	o	-	-	-	-	-	-	-	-	-	-	n	-	n	-	+	o	+	-	+	n	+	x	-	+	+	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	+
ǂʔ	-	o	o	-	-	-	-	-	+	-	-	-	-	n	-	n	-	+	o	+	-	+	n	+	x	-	+	+	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	+
ǂʰ	-	o	o	-	-	-	-	-	-	-	-	-	+	n	-	n	-	+	o	+	-	+	n	+	x	-	+	+	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	+
ǃ	-	o	o	-	-	-	-	-	-	-	-	-	-	n	+	n	+	+	o	+	-	-	n	-	x	-	+	+	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	+
ǃd	-	o	o	-	-	-	-	-	-	-	-	-	-	n	+	n	+	+	o	+	-	-	n	-	x	-	+	+	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	+
ǃkxʔ	-	o	o	-	-	-	-	-	+	-	-	-	-	n	+	n	+	+	o	+	-	-	n	-	x	-	+	+	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	+
ǃn	-	o	o	-	-	-	-	-	-	-	+	-	-	n	+	n	+	+	o	+	-	-	n	-	x	-	+	+	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	+
ǃn̥	-	o	o	-	-	-	-	-	-	-	+	-	-	n	+	n	+	+	o	+	-	-	n	-	x	-	+	+	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	+
ǃq	-	o	o	-	-	-	-	-	-	-	-	-	-	n	+	n	+	+	o	+	-	-	n	-	x	+	+	+	o	o	o	o	-	-	.	.	.	.	.	.	+	-	+	+
ǃqʔ	-	o	o	-	-	-	-	-	+	-	-	-	-	n	+	n	+	+	o	+	-	-	n	-	x	-	+	+	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	+
ǃqʰ	-	o	o	-	-	-	-	-	-	-	-	-	+	n	+	n	+	+	o	+	-	-	n	-	x	+	+	+	o	o	o	o	-	-	.	.	.	.	.	.	+	-	+	+
ǃr	-	o	o	-	-	-	-	-	-	-	-	-	-	n	+	n	+	+	o	+	-	-	n	-	x	-	+	+	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	+
ǃs	-	o	o	-	-	-	-	-	-	-	-	+	-	n	+	n	+	+	o	+	-	-	n	-	x	-	+	+	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	+
ǃt	-	o	o	-	-	-	-	-	-	-	-	-	-	n	+	n	+	+	o	+	-	-	n	-	x	-	+	+	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	+
ǃx	-	o	o	-	-	-	-	-	-	-	-	-	-	n	+	n	+	+	o	+	-	-	n	-	x	-	+	+	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	+
ǃz	-	o	o	-	-	-	-	-	-	-	-	+	-	n	+	n	+	+	o	+	-	-	n	-	x	-	+	+	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	+
