GRAPHEME	syllabic	vocalic	consonantal	sonorant	continuant	voice	glottal_(tertiary)_closure	lateral	nasal	strident	heightened_subglottal_pressure	movement_of_glottal_closure	tense	covered	high	low	anterior	coronal	back	round	distributed	delayed_primary_release	delayed_release_of_secondary_closure	LONG	EXTRA
gǀkx	-	-	+	-	-	+	-	-	-	-	-	n	n	n	+	-	+	+	+	-	+	-	+	-	-
gǀx	-	-	+	-	-	+	-	-	-	-	-	n	n	n	+	-	+	+	+	-	+	+	+	-	-
gǀʰ	-	-	+	-	-	+	-	-	-	-	+	n	+	n	+	-	+	+	+	-	+	-	-	-	-
gǁ	-	-	+	-	-	+	-	+	-	-	-	n	n	n	+	-	+	+	+	-	.	-	-	-	-
gǁkx	-	-	+	-	-	+	-	+	-	-	-	n	n	n	+	-	+	+	+	-	.	-	+	-	-
gǁx	-	-	+	-	-	+	-	+	-	-	-	n	n	n	+	-	+	+	+	-	.	+	+	-	-
gǁʰ	-	-	+	-	-	+	-	+	-	-	+	n	+	n	+	-	+	+	+	-	.	-	-	-	-
gǂ	-	-	+	-	-	+	-	-	-	-	-	n	n	n	+	-	-	+	+	-	+	-	-	-	-
gǂkx	-	-	+	-	-	+	-	-	-	-	-	n	n	n	+	-	-	+	+	-	+	-	+	-	-
gǂx	-	-	+	-	-	+	-	-	-	-	-	n	n	n	+	-	-	+	+	-	+	+	+	-	-
gǂʰ	-	-	+	-	-	+	-	-	-	-	+	n	+	n	+	-	-	+	+	-	+	-	-	-	-
gǃ	-	-	+	-	-	+	-	-	-	-	-	n	n	n	+	-	+	+	+	-	-	-	-	-	-
gǃkx	-	-	+	-	-	+	-	-	-	-	-	n	n	n	+	-	+	+	+	-	-	-	+	-	-
gǃx	-	-	+	-	-	+	-	-	-	-	-	n	n	n	+	-	+	+	+	-	-	+	+	-	-
gǃʰ	-	-	+	-	-	+	-	-	-	-	+	n	+	n	+	-	+	+	+	-	-	-	-	-	-
gʘ	-	-	+	-	-	+	-	n	-	-	-	n	n	n	+	-	+	-	+	-	+	-	-	-	-
gʘkx	-	-	+	-	-	+	-	n	-	-	-	n	n	n	+	-	+	-	+	-	+	-	+	-	-
gʘx	-	-	+	-	-	+	-	n	-	-	-	n	n	n	+	-	+	-	+	-	+	+	+	-	-
